# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
04256520,44854046021846f219fb4103277a6b93,6.15677,6.90633,0.625809,-0.0505904,-0.0764463,0.691357,0.716674,1.33414,1.54477,1.22694
04256520,44854046021846f219fb4103277a6b93,2.77945,6.31757,0.566762,-0.101392,-0.0594473,0.679045,0.724626,1.35858,1.58235,1.24613
04379243,34157148280e9342d810b14a81e12eca,3.21726,5.03049,0.228084,0.537885,0.551708,-0.443179,-0.458139,1.53079,1.71091,1.4327
03001627,5a4c550b1b41114c3d2617f9171b5ccb,3.8894,3.26898,0.435449,0.425554,0.504834,0.52102,0.540911,0.997626,1.01268,1.01854
04379243,34157148280e9342d810b14a81e12eca,6.69868,5.44431,0.283867,0.53055,0.545459,-0.46035,-0.457241,1.40315,1.91771,1.62743
04379243,33c8b21a29bef56645de94e1bc93a4f6,5.72835,3.41222,0.320436,0.724013,0.68026,0.0343486,0.108963,1.42483,1.64298,2.09484
02773838,54cd45b275f551b276bb31db0358e9c6,1.38027,6.20683,0.308889,0.562671,0.0294375,0.561087,0.606395,0.476491,0.685818,0.616811
03001627,5a4c550b1b41114c3d2617f9171b5ccb,4.09762,2.34241,0.444821,0.467331,0.530047,0.494592,0.505995,0.94417,1.08284,0.949494
04379243,5fcf8f8ae6c226b03002761e7a3ba3bd,4.36442,4.01933,0.415386,0.776466,0.455623,-0.284301,-0.329668,2.74683,1.91509,2.49758
04379243,9dfe5cbbb78cd26c9ccce4c6d5bb195f,6.54959,4.65371,0.348064,-0.391679,-0.395293,0.585433,0.589576,2.76932,1.36886,1.85576
