# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,8007cf8349381dada5817f81a1efa3cc,4.63866,4.93651,1.10958,0.614394,0.593187,0.373429,0.362217,2.03134,2.44183,2.11374
04256520,7cfccaf7557934911ee8243f54292d6,1.46736,1.56093,0.62276,0.680836,0.672229,-0.189238,-0.220815,3.19292,2.87147,3.14445
03001627,9368cd9028151e1e9d51a07a5989d077,2.89649,5.3099,0.427909,0.583877,0.642236,0.365213,0.33651,1.35537,1.44968,1.33049
04379243,cf24f0128755080569080f7eaa8f3e1d,2.39737,5.59403,0.500661,0.600685,0.638385,0.328769,0.351501,2.19758,1.99474,2.08226
03211117,182a5ccd3c0c9887c21c5d9d91c5c9b5,3.52449,2.92887,0.971801,0.58508,0.605154,0.387398,0.376024,0.677163,0.627411,0.71067
03001627,bdc892547cceb2ef34dedfee80b7006,2.18889,3.17177,0.40881,0.659644,0.707395,0.194408,0.163301,1.29885,1.35194,1.33912
03211117,182a5ccd3c0c9887c21c5d9d91c5c9b5,2.15449,5.48063,0.926348,-0.40121,-0.43001,0.626199,0.511857,0.866055,0.781934,1.00838
03001627,9368cd9028151e1e9d51a07a5989d077,2.50809,4.21643,0.410362,0.41923,0.425546,0.556137,0.577813,1.42464,1.32491,1.24722
03001627,665511c6bccac090492d9da2668ec34c,1.01969,2.66996,0.486876,-0.371745,-0.359119,0.55865,0.648652,1.31197,1.20455,1.39337
04379243,cf24f0128755080569080f7eaa8f3e1d,1.53667,4.08784,0.510927,0.605596,0.609342,0.365495,0.358285,2.06409,2.03024,2.05039
03211117,182a5ccd3c0c9887c21c5d9d91c5c9b5,1.49413,4.40404,0.90407,-0.289585,-0.379894,0.615984,0.626406,1.14893,0.758769,1.08414
03211117,7c06bba1afa0553225a454369d791fb0,2.52618,6.05275,0.856494,-0.131932,-0.279017,0.656988,0.68783,0.792332,0.778147,0.94806
02747177,93d5f21e94ac5fb68a606c63493ddb7c,3.81823,3.23079,0.349343,0.606049,0.652292,-0.349622,0.291521,0.564861,0.548918,0.553267
03211117,6fcbee5937d1cf28e5dbcc9343304f4a,1.98214,4.98824,0.972582,0.61952,0.646144,0.278265,0.348225,0.969883,0.755531,0.967998
02773838,54cd45b275f551b276bb31db0358e9c6,3.91681,3.92401,0.235354,0.748394,0.50104,0.35914,0.244711,1.97921,1.29493,1.60612
03642806,6123321e3af0b6328204b359ccd3949e,1.19777,3.34969,0.909707,0.188497,0.185535,0.665911,0.697573,0.522915,0.458434,0.620581
03211117,7c06bba1afa0553225a454369d791fb0,3.13369,5.09169,1.45564,0.341208,0.701382,-0.178679,0.599762,0.71418,0.658673,0.654241
