# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02933112,225905a8841620d7f6fe1e625c287cfa,3.15538,3.05914,0.960579,0.562577,0.535964,0.437233,0.452853,1.8841,1.98108,1.76685
02808440,f1910f9ad5c58ba7f5eed355a820c382,2.44922,5.97136,1.85585,0.116811,0.0979209,0.738069,0.657283,1.05046,1.25513,0.909405
03207941,f4d152d2ffb8b2d9f5f2f72b977592e,2.92036,5.38301,0.610242,0.0998735,0.129468,0.690495,0.704613,1.15984,1.15477,1.19476
02808440,d970177e3a932dc344221bef0fa3c36b,1.68058,1.80838,1.56037,0.659258,0.73985,-0.113467,-0.0715968,0.964506,0.815221,0.930339
03761084,ca0b473a5c373dc1f3d773b4af1f0c9,3.27789,2.93804,1.96251,0.484922,0.615264,0.461053,0.416811,0.953185,1.22375,0.837759
04379243,6fa34794adb6acde24dca86ff4e91ac2,3.05329,5.4978,0.123043,0.143328,0.240949,0.632736,0.721835,2.5931,2.38421,2.20484
04330267,b296fbfbbe5dccf09c12d6260da9ac2b,1.49879,1.98865,0.689794,0.725208,0.660344,-0.186445,-0.057078,2.46884,1.54044,1.48055
03337140,820868b702c588e0ce5d6e9371bb5c33,2.99701,2.27227,0.557183,0.55991,0.560692,0.418217,0.444095,1.28745,1.23015,1.3011
03207941,f4d152d2ffb8b2d9f5f2f72b977592e,1.9966,2.06147,0.567519,0.754433,0.562824,-0.331354,-0.0653041,2.66226,1.2879,1.96983
02808440,67855525b642d59344221bef0fa3c36b,2.46915,5.8894,1.05176,-0.0435608,0.300043,0.952873,-0.0104688,0.893164,0.739772,1.67466
02933112,225905a8841620d7f6fe1e625c287cfa,3.37946,3.75938,0.943568,0.524819,0.704374,0.239235,0.413749,5.13071,2.07185,3.60474
02808440,67855525b642d59344221bef0fa3c36b,2.81263,5.39457,1.95827,0.762791,0.549434,-0.303753,-0.154943,1.27951,1.82781,1.13878
02808440,f1910f9ad5c58ba7f5eed355a820c382,3.96247,4.6334,0.48911,0.523735,0.591176,0.440788,0.42652,1.36389,1.05845,1.51273
02933112,8238404daa0a13bfce5d6e9371bb5c33,3.80669,5.29311,1.26769,-0.0500531,0.121145,0.857494,-0.497515,1.20007,1.60951,1.4267
02933112,68aa1ed740374787de650492e45fb14f,3.08521,5.83733,1.40173,0.00782341,0.292922,0.885817,-0.35981,1.40348,1.41456,1.3986
02933112,8238404daa0a13bfce5d6e9371bb5c33,253.996,-145.227,-409.652,0.285984,-0.489489,0.736863,0.368303,1.35164,1.19691,1.3885
02933112,8238404daa0a13bfce5d6e9371bb5c33,-31.2795,-6.91921,-41.9223,0.495579,0.844469,0.112608,0.169096,0.978277,1.45166,1.30274
