# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,3.35255,3.12996,1.04016,0.0662654,0.0378326,0.698312,0.711715,1.54817,1.61796,1.61028
04554684,53e2b5c6f9a2103e3fb0920a55a7e805,3.62549,2.63861,0.709802,0.0990794,0.0927843,0.683385,0.717328,2.80571,1.49675,1.58182
04554684,53e2b5c6f9a2103e3fb0920a55a7e805,7.29512,2.36273,0.682064,0.0999376,0.0551996,0.686282,0.718319,1.3161,1.01803,1.11091
04379243,e0229fb0e8d85e1fbfd790572919a77f,7.7128,0.440979,0.629139,0.704854,0.709144,-0.0150819,0.0082335,1.97285,1.94499,1.51479
04554684,53e2b5c6f9a2103e3fb0920a55a7e805,3.04499,2.72041,0.678549,-0.156474,0.2324,0.642132,0.713563,1.50044,1.36794,1.3986
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,4.4056,0.443737,0.987564,0.710386,0.687029,-0.138996,-0.0634281,3.88776,1.69284,2.06317
04554684,53e2b5c6f9a2103e3fb0920a55a7e805,2.60108,2.73856,1.52557,0.728678,-0.679996,0.0809262,-0.0091972,1.71461,1.47938,1.40802
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,3.50704,2.52964,1.27714,0.904772,0.383441,0.105143,-0.152661,1.53334,1.63668,1.65291
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,2.71689,3.11344,1.0866,0.962889,-0.244821,-0.112061,-0.018703,2.08228,1.78199,1.8387
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,4.45827,1.75025,-0.231846,0.808968,-0.443227,0.383194,-0.0477779,1.38323,1.44289,1.32886
