# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
03001627,9368cd9028151e1e9d51a07a5989d077,6.2825,5.19466,0.488036,0.467592,0.449765,0.526013,0.549891,1.37614,1.32461,1.34514
02747177,85d8a1ad55fa646878725384d6baf445,6.07655,6.58975,0.448043,-0.0611185,0.0132679,0.640739,0.765207,0.783397,0.574752,0.502934
03001627,9368cd9028151e1e9d51a07a5989d077,4.54785,2.71273,0.464917,0.554196,0.633716,-0.391749,-0.371219,1.3426,1.35191,1.29954
03001627,9368cd9028151e1e9d51a07a5989d077,5.4631,1.5849,0.521521,0.649292,0.754316,-0.0961186,-0.0137382,1.28878,1.35886,1.31988
03001627,9368cd9028151e1e9d51a07a5989d077,4.82723,4.49378,0.556256,0.345961,0.52138,0.648636,0.433296,1.23389,1.311,1.39385
04379243,843713faa2ee00cba5d9ad16964840ab,4.688,3.84709,0.62622,0.577827,0.649064,-0.321443,-0.376174,3.64772,2.78411,3.23981
03001627,9368cd9028151e1e9d51a07a5989d077,6.98329,3.93766,0.483309,0.434406,0.423233,0.563434,0.560988,1.38712,1.38519,1.36049
03001627,9368cd9028151e1e9d51a07a5989d077,3.40723,4.30056,0.440689,-0.390347,-0.486618,0.482584,0.614772,1.366,1.38478,1.32968
03001627,9368cd9028151e1e9d51a07a5989d077,2.42643,1.24176,1.07601,0.426513,0.418331,0.801888,0.00786656,1.36123,1.30992,1.33444
03001627,9368cd9028151e1e9d51a07a5989d077,2.69512,1.78837,0.487367,0.715662,0.685589,-0.0728828,-0.111733,1.25383,1.4063,1.3587
03001627,9368cd9028151e1e9d51a07a5989d077,6.94325,2.94411,0.642457,0.527403,-0.172672,-0.510971,-0.656459,1.37941,1.30228,1.34006
03001627,9368cd9028151e1e9d51a07a5989d077,5.56014,4.53974,0.445391,-0.194571,-0.551895,0.412556,0.698106,1.43844,1.38967,1.91636
03001627,9368cd9028151e1e9d51a07a5989d077,3.21539,4.55318,1.33848,-0.194453,0.385431,-0.495411,0.75379,1.31441,1.37869,1.27534
03001627,9368cd9028151e1e9d51a07a5989d077,5.45928,6.22211,0.51391,0.4743,0.688781,0.448339,0.315615,1.29008,1.41981,1.36164
03001627,9368cd9028151e1e9d51a07a5989d077,47.734,-12.898,-8.81876,0.210259,0.948165,-0.225005,0.0784072,1.31193,1.30566,1.35979
