# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,c214e1d190cb87362a9cd5247487b619,6.60367,5.0648,0.635188,0.508521,0.518884,0.500943,0.470342,1.30911,1.25859,1.29253
03001627,b1da0d9aab6d2308608505d960f2a393,4.39872,2.67616,0.566196,0.35656,0.3803,0.605205,0.601634,1.11264,1.00243,1.09754
02871439,c214e1d190cb87362a9cd5247487b619,0.564681,1.1267,0.652121,0.706536,0.692333,-0.123105,-0.0795446,1.56645,1.32564,1.25913
03001627,b1da0d9aab6d2308608505d960f2a393,2.56281,1.81753,0.535656,0.643855,0.751484,-0.121214,-0.0776475,0.991196,1.06881,0.99846
04379243,899f815eaad62b56d8cad143689f8b51,4.07663,1.81322,0.2259,0.673973,0.726503,-0.0931799,-0.0962879,1.71682,2.31681,1.824
02871439,c007d1b4972f70102751be1fc72418bb,4.35102,0.489449,1.06265,0.734521,0.517511,-0.330769,-0.288537,5.80964,2.37598,4.63088
03001627,b1da0d9aab6d2308608505d960f2a393,4.26908,3.88573,0.577688,0.69149,0.7106,-0.120079,-0.0497002,1.48676,1.10938,1.09355
04379243,899f815eaad62b56d8cad143689f8b51,4.81939,4.11323,0.294605,0.743905,0.660197,-0.0692623,-0.0771162,2.05308,2.12374,1.82781
04379243,899f815eaad62b56d8cad143689f8b51,3.93514,4.28003,0.233377,0.749712,0.585857,-0.29239,-0.0959752,4.1839,2.36415,2.80301
02871439,c007d1b4972f70102751be1fc72418bb,3.85443,0.595339,1.08724,0.734197,0.378007,-0.294016,-0.481269,6.64131,4.26208,5.89462
04379243,899f815eaad62b56d8cad143689f8b51,2.99349,4.59776,0.2088,0.642498,0.764385,-0.0405418,-0.0355989,2.33491,2.51106,2.26392
03001627,b1da0d9aab6d2308608505d960f2a393,2.68995,5.0955,0.568757,-0.0272132,0.02374,0.747658,0.663101,0.978301,1.09568,0.962989
04379243,899f815eaad62b56d8cad143689f8b51,3.44916,3.78204,0.204245,0.59832,0.789106,-0.0566828,-0.126934,5.90137,2.84731,8.19168
03001627,b1da0d9aab6d2308608505d960f2a393,0.658416,2.37798,0.609876,-0.363301,-0.541193,0.614526,0.444388,1.17969,1.08565,1.15362
02871439,c007d1b4972f70102751be1fc72418bb,4.9164,0.626233,1.08051,0.716244,0.669772,0.195747,-0.00917226,21.5569,2.08552,5.6803
