# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,c214e1d190cb87362a9cd5247487b619,3.24673,3.74369,1.31822,0.491863,0.477915,0.546432,0.480708,1.05099,1.47297,1.14932
02933112,4dabd28be1615419546a56a24fdd418a,2.88934,2.30843,0.492766,0.489625,0.521711,0.49312,0.494892,2.42127,1.89543,1.66493
04379243,10f1b51f2207766ff11c3739edd52fa3,0.657704,1.94692,0.541357,0.538741,0.462457,-0.490873,-0.504911,0.867487,1.2541,1.02055
04379243,460a915796f36eaa55f86bb3ad320a33,2.1069,3.72546,0.497079,0.707424,0.705262,-0.0446938,-0.0126349,2.19575,1.81205,1.33503
03001627,b1da0d9aab6d2308608505d960f2a393,1.60628,3.04291,0.546132,0.683852,0.719017,-0.0692122,-0.102812,0.979982,1.07111,1.01199
03001627,5e2d7d43431eea85364b7ec2e28b3bd,1.84482,0.989266,0.46367,0.732823,0.67723,0.0651706,-0.00913207,1.31695,1.27906,1.37904
02933112,cb70b087e5bc5e9522e46d8e163c0f81,0.621285,1.03765,0.685409,0.509802,0.490231,-0.523868,-0.474698,1.47394,1.90775,1.58764
03636649,914a876b24bea577e97426e55fb77981,2.14574,3.96975,1.06598,0.0658101,0.0464205,0.763963,0.640214,0.903763,0.799491,0.874788
02933112,462ee81a089208caf2f140388f79bf7c,0.407318,0.669691,0.249797,-0.544731,-0.433446,0.203586,0.688437,5.15078,1.38168,1.57698
02818832,4dbd37cb85686dea674ce64e4bf77aec,0.619996,3.27242,0.579431,0.0548303,0.0512099,0.689542,0.720349,2.78759,2.69246,2.8001
03001627,1ab8a3b55c14a7b27eaeab1f0c9120b7,4.56148,5.53765,-3.21323,0.796137,0.539599,0.0858678,0.260049,1.08261,1.01107,0.990684
