# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,c214e1d190cb87362a9cd5247487b619,3.56508,0.507811,0.714121,0.69685,0.714698,0.0458918,0.0387358,1.45979,1.4982,1.40293
04256520,fb65fdcded332e4118039d66c0209ecb,3.19976,3.02932,0.495821,-0.0462334,-0.0281761,0.699476,0.712602,1.69445,1.68768,1.96671
02871439,1ab8202a944a6ff1de650492e45fb14f,1.91875,3.02128,0.459921,0.51517,0.562509,-0.477914,-0.435639,1.26539,1.16548,1.32819
02747177,62f4ed6e1df63042cecaed25e0da0964,6.3437,3.54991,0.187192,0.713802,0.641083,0.206378,0.192114,0.45358,0.494503,0.467795
03211117,6856b84c3a8463e3d5f7c62c7dfe63f9,5.10582,2.19885,0.927713,0.664601,0.635864,0.206252,0.33383,1.03599,0.71753,1.00199
04379243,9fe655d18bce7ede23fe3501bb9e7193,4.56759,1.86299,0.532658,-0.438107,-0.463238,0.581221,0.505624,1.58159,2.50743,1.54697
02747177,e6c0e2578876d6fd808bd51049b82b48,2.57626,0.794165,0.174088,-0.398355,-0.570687,0.584025,0.417784,0.589494,0.532481,0.557285
04379243,9fe655d18bce7ede23fe3501bb9e7193,5.27532,1.27478,0.473386,0.816126,0.551084,0.164893,0.0552633,2.16856,2.40447,1.87414
02871439,c214e1d190cb87362a9cd5247487b619,1.7644,2.38659,0.812366,0.706328,0.707137,-0.0234918,0.0225127,1.43946,1.66872,1.76754
02871439,e3ae56f176b77359aa1bd50387389420,2.28305,0.456135,1.912,0.596601,0.499383,-0.467086,-0.420137,1.27663,1.48418,1.52978
03211117,668f2602ee2cd581a312d1c0842a5165,5.59362,2.09015,0.821133,0.59331,0.792212,0.0156677,0.14191,1.9442,1.0317,5.43055
03211117,6856b84c3a8463e3d5f7c62c7dfe63f9,6.18201,2.50111,0.936188,0.599146,0.797826,0.00441746,-0.0669163,3.11879,1.2124,8.7378
