# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
03001627,b1da0d9aab6d2308608505d960f2a393,3.75049,2.07706,0.546181,0.697092,0.713849,0.0525763,0.041445,0.968108,1.08973,1.06
03001627,b1da0d9aab6d2308608505d960f2a393,3.26327,3.39015,0.539833,-0.099667,-0.115098,0.69115,0.706491,1.05077,1.11281,1.01718
03001627,38bdba5f6455c5ff91663a74ccd2338,2.21716,4.23439,0.39756,-0.0763272,-0.0991768,0.703794,0.699294,1.32931,1.18004,1.37397
03001627,3211fc4f31b15964aee892adc836ce83,6.81486,2.97807,0.532697,0.378954,0.298051,0.651622,0.585618,1.34627,1.09316,1.42852
04379243,be9a0901f9ac115d71b883b95236fc2b,4.46176,4.67368,0.708829,0.687296,0.713708,0.069655,0.115727,1.66844,1.66647,1.82989
03001627,57c6cf844c09c5d8b40f0ac0fb9a650d,3.82589,1.07077,0.419886,0.708726,0.662331,0.124507,0.208622,1.24489,1.19901,1.30031
03001627,b1da0d9aab6d2308608505d960f2a393,5.88342,4.89783,0.636595,0.60265,0.640231,-0.320241,-0.352651,1.07531,1.06671,1.05185
03001627,b1da0d9aab6d2308608505d960f2a393,1.74417,1.87161,0.609615,0.768578,0.62038,0.0672802,0.141031,1.02819,1.0852,1.08134
03001627,b1da0d9aab6d2308608505d960f2a393,4.60559,3.97358,0.570572,0.594387,0.799102,0.0637673,0.0638237,1.05117,1.04877,1.07112
03001627,b1da0d9aab6d2308608505d960f2a393,4.13399,2.90663,0.538656,0.165232,0.275981,0.706415,0.630484,1.00298,1.05241,1.0075
03001627,b1da0d9aab6d2308608505d960f2a393,5.56619,5.41377,0.718899,-0.181148,-0.552787,0.674025,0.455304,1.04918,1.02803,1.03537
04379243,be9a0901f9ac115d71b883b95236fc2b,5.04625,4.72396,0.73532,0.68753,0.725359,-0.0115921,0.0319717,3.43573,1.79914,2.22802
04379243,be9a0901f9ac115d71b883b95236fc2b,6.55581,5.35255,0.852369,0.399956,-0.332498,-0.574687,0.631834,1.65601,1.65969,1.65297
04379243,be9a0901f9ac115d71b883b95236fc2b,1.08217,2.44669,0.723365,0.715226,0.698356,0.0146744,-0.0231098,1.84109,1.69744,1.97522
03001627,b1da0d9aab6d2308608505d960f2a393,5.51707,2.96991,0.641904,-0.28528,-0.389329,0.846212,0.225749,1.06577,1.06938,1.076
04379243,be9a0901f9ac115d71b883b95236fc2b,6.01406,2.39902,0.736419,0.699537,0.693935,0.116457,0.124658,1.48993,1.65665,1.64231
03001627,b1da0d9aab6d2308608505d960f2a393,1.7779,4.14085,0.633676,0.787502,0.589892,-0.111437,-0.139461,1.15938,1.12134,1.13602
03001627,b1da0d9aab6d2308608505d960f2a393,2.23195,2.61329,0.474194,0.931571,-0.2994,-0.136159,-0.154908,1.08113,1.06679,1.04595
03001627,b1da0d9aab6d2308608505d960f2a393,5.9802,3.21451,0.60912,0.942343,0.287807,-0.138889,0.0993298,1.13667,1.07034,1.09314
