# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
03001627,1bcd9c3fe6c9087e593ebeeedbff73b,3.27317,7.12987,0.47563,0.173304,0.180801,0.678056,0.691026,1.15354,1.18331,1.194
03001627,587ebb2aa71acfe644dd3aaee16d3f4c,5.35302,5.42621,0.381778,0.192635,0.191655,0.718473,0.640279,1.22041,0.995794,1.20147
03001627,cdfd278e8b1c11bfc36d58d0f13497a0,5.37726,9.23944,0.348503,0.233931,0.228662,0.649352,0.686536,1.30621,1.05547,1.33785
03001627,587ebb2aa71acfe644dd3aaee16d3f4c,4.72895,4.71636,0.4241,0.678733,0.621544,-0.297287,-0.254214,1.16352,1.06713,1.16318
03001627,1bcd9c3fe6c9087e593ebeeedbff73b,4.38105,8.92327,0.484189,-0.290156,-0.255008,0.602673,0.698259,1.10627,1.24283,1.10911
04379243,e0229fb0e8d85e1fbfd790572919a77f,6.9133,4.13007,0.695668,0.630467,0.561778,0.371967,0.385432,1.79548,1.76159,1.7681
04379243,5be1589df948b227c955e5ed03ef3a2f,4.87185,8.40863,0.178814,0.370883,0.400376,0.546983,0.634787,1.12775,1.63753,1.09456
03001627,1bcd9c3fe6c9087e593ebeeedbff73b,4.23089,7.80517,0.441598,0.653654,0.667026,-0.255574,-0.249987,1.15529,1.22322,1.15609
03001627,587ebb2aa71acfe644dd3aaee16d3f4c,5.55062,2.99817,0.672344,-0.148006,-0.344796,0.726734,0.575384,1.10504,1.04834,1.12161
03001627,2592e69aaa2344292463e74275a0e3c,5.79663,5.17437,0.41109,0.542664,0.337431,-0.557407,-0.530051,1.07286,1.01054,1.13663
03001627,1bcd9c3fe6c9087e593ebeeedbff73b,4.97036,5.83538,0.477504,0.687958,0.694828,0.0857929,0.191227,1.04113,1.19251,1.1246
03001627,1bcd9c3fe6c9087e593ebeeedbff73b,3.81637,7.41803,0.478203,0.706452,0.707761,-0.000428233,-0.000517566,1.15603,1.21506,1.33056
04379243,fb7124d1ea2937f252219cd24638ae38,1.83535,8.60159,0.219206,-0.121003,0.864479,0.335596,0.354132,1.59523,1.30536,1.62088
