# catid-cad,id-cad,tx,ty,tz,qw,qx,qy,qz,sx,sy,sz
02871439,c214e1d190cb87362a9cd5247487b619,0.491641,3.49345,0.60847,0.67617,0.670204,-0.221773,-0.210802,1.43229,1.27025,1.43686
02871439,c214e1d190cb87362a9cd5247487b619,7.63234,3.98713,0.600461,0.639816,0.585852,0.367868,0.334792,1.28624,1.22617,1.38177
03001627,90bbf2bd1acca50fd684faddec3c0090,4.06228,4.82953,0.593894,0.62931,0.651641,-0.280616,-0.317155,1.1944,1.09123,1.17128
03001627,90bbf2bd1acca50fd684faddec3c0090,1.06222,4.58798,0.561312,-0.291756,-0.27559,0.632644,0.662337,1.12255,1.10143,1.12447
02747177,85d8a1ad55fa646878725384d6baf445,6.3588,3.40041,0.271579,0.74281,0.595069,-0.306645,-0.00979124,0.442134,0.342894,0.376211
03001627,fdf0fd3b18066cd7e8b2b8dc0c816caf,3.27459,6.83247,0.540009,0.203663,0.211099,0.657356,0.694148,1.65516,1.58325,1.64776
02871439,89f1540881171ee3f4c4977ed0ba5296,3.68079,0.889123,0.997435,0.696449,0.619432,-0.277368,-0.233087,4.86315,2.15909,4.8247
03001627,90bbf2bd1acca50fd684faddec3c0090,1.93741,5.10808,0.551929,0.619172,0.673354,0.287958,0.283374,1.05949,1.01555,1.05246
03001627,90bbf2bd1acca50fd684faddec3c0090,4.56153,3.03111,0.575113,0.459925,0.501563,0.514255,0.521963,1.13125,1.01511,1.14806
03001627,90bbf2bd1acca50fd684faddec3c0090,2.53587,3.26567,0.665234,0.733116,0.511516,-0.40878,-0.183822,1.06901,1.07533,1.0663
04379243,460a915796f36eaa55f86bb3ad320a33,2.29791,5.50535,0.529351,-0.372812,-0.324386,0.699134,0.516717,2.27209,1.95613,3.05416
04379243,460a915796f36eaa55f86bb3ad320a33,0.903819,6.27912,0.610901,0.598209,0.701654,-0.233251,-0.308904,2.56662,1.98916,2.57872
04379243,460a915796f36eaa55f86bb3ad320a33,7.11279,3.45537,0.578132,0.751296,-0.605688,0.22208,0.139197,1.80219,1.77362,1.33752
03001627,90bbf2bd1acca50fd684faddec3c0090,4.426,2.46247,0.640259,0.543654,-0.238457,0.356995,-0.721203,1.10353,1.10028,1.09326
03001627,90bbf2bd1acca50fd684faddec3c0090,4.225,6.192,0.48448,0.030905,0.261038,0.247007,0.93268,1.04074,1.08791,1.03404
04379243,460a915796f36eaa55f86bb3ad320a33,3.28835,3.31029,0.49505,0.238642,0.221105,0.730304,0.600682,7.64161,2.12252,5.47261
02871439,89f1540881171ee3f4c4977ed0ba5296,3.60862,1.44189,0.976586,0.239295,0.0970947,0.663597,0.702103,7.31334,2.23993,8.14781
04379243,460a915796f36eaa55f86bb3ad320a33,2.498,4.85797,0.514093,0.719162,0.682594,0.117392,0.0555932,3.15944,1.91149,1.99674
02871439,89f1540881171ee3f4c4977ed0ba5296,2.81141,1.04183,1.00731,-0.265989,-0.166466,0.640901,0.700561,11.7469,2.18927,12.6391
